Filename,Title,Artist,Search_Query,Genre
Ecuador.mp3,Ecuador,DJ SASH!,DJ SASH! Ecuador song genre,Dance; EDM
Enter Sandman.mp3,Enter Sandman,Metallica,Metallica Enter Sandman song genre,Rock
Espresso.mp3,Espresso,Sabrina Carpenter,Sabrina Carpenter Espresso song genre,Pop; Dance
Every Little Thing She Does Is Magic.mp3,Every Little Thing She Does Is Magic,The Police,The Police Every Little Thing She Does Is Magic song genre,Reggae; Pop
Every Rose Has Its Thorn.mp3,Every Rose Has Its Thorn,Poison,Poison Every Rose Has Its Thorn song genre,Rock
"Every You, Every Me.mp3","Every You, Every Me",PLACEBO,"PLACEBO Every You, Every Me song genre",Alternative Rock
Everybody (Backstreet's Back).mp3,Everybody (Backstreet'S Back),Backstreet Boys,Backstreet Boys Everybody (Backstreet'S Back) song genre,Pop
Fantasy.mp3,Fantasy,Mariah Carey,Mariah Carey Fantasy song genre,Pop; R&B
Fast Car.mp3,Fast Car,Jonas Blue,Jonas Blue Fast Car song genre,Folk; Rock
Fields Of Gold.mp3,Fields Of Gold,Sting,Sting Fields Of Gold song genre,Pop
Fine Young Cannibals - She Drives Me Crazy.mp3,She Drives Me Crazy,Fine Young Cannibals,Fine Young Cannibals She Drives Me Crazy song genre,Pop
Fire.mp3,Fire,Kasabian,Kasabian Fire song genre,Alternative Rock
Fireball.mp3,Fireball,Pitbull,Pitbull Fireball song genre,Dance; EDM
Five - Everybody Get Up.mp3,Everybody Get Up,Five,Five Everybody Get Up song genre,Disco; Dance; Pop
Five - Got The Feelin.mp3,Got The Feelin',Five,Five Got The Feelin' song genre,Pop
Five Colours In Her Hair.mp3,Five Colours In Her Hair,McFly,McFly Five Colours In Her Hair song genre,Pop;Rock;Indie
Five-Keep On Moving.mp3,Keep On Moving Lyrics,Five,Five Keep On Moving Lyrics song genre,Pop
Flowers In The Window.mp3,Flowers In The Window,Travis,Travis Flowers In The Window song genre,Indie 
Footloose.mp3,Footloose,Kenny Loggins,Kenny Loggins Footloose song genre,Rock; Country; Rockabilly
Foster the People - Pumped Up Kicks (Aiju Remix).mp3,Pumped Up Kicks (Aiju Remix),Foster The People,Foster The People Pumped Up Kicks (Aiju Remix) song genre,Pop; Dance
Freak Like Me.mp3,Freak Like Me,Sugababes,Sugababes Freak Like Me song genre,R&B; Hip-Hop
George Michael - Faith.mp3,Faith,George Michael,George Michael Faith song genre,Pop; R&B
Geri Halliwell - It's Raining Men.mp3,It'S Raining Men,Geri Halliwell,Geri Halliwell It'S Raining Men song genre,Disco; Pop
Get It On.mp3,Get It On,T.Rex,T.Rex Get It On song genre,Rock
Get Lucky.mp3,Get Lucky,Pharrell Williams/Nile Rodgers/Daft Punk,Pharrell Williams/Nile Rodgers/Daft Punk Get Lucky song genre,Disco; Pop
